Unnamed: 0,K,l1_dist,l2_dist,cos_sim,cos_sim_ratio,correlation,kl,jaccard,method
2,15,0.950048441968678,0.0456161000401629,0.7647017689456526,3.748222024850074,0.7620404229642544,inf,0.6119546493366401,gplsi
3,15,0.8427738350628331,0.0378791760955922,0.784926644184603,3.980390514237905,0.782246129127699,inf,0.6552003345407917,plsi
4,15,0.8667989656160552,0.0421902560956965,0.7575276659409281,3.7362288593343265,0.7544437478596296,inf,0.6173887835410614,plsi
5,15,0.8846749612647998,0.0415520407601766,0.7742455425513123,3.8593789169229624,0.7715993602436915,inf,0.6390611468221348,plsi
6,15,0.7521280932169567,0.0102355398209133,0.8014235668544103,2.1425177279454855,0.7930337634460697,1.2465085484538336,0.7232946688878117,lda
7,15,0.7528154498609092,0.0102436345780592,0.8215812883139244,2.0822479055098095,0.8143634919530425,1.1518347687649535,0.7170932020514941,lda
8,15,0.7597006239311597,0.0099577537767986,0.8074951339998652,2.1159380207244514,0.7988214677444695,1.3151080607202208,0.7233595106546236,lda
0,20,1.0384721801810923,0.0608158239943614,0.6906748855407622,3.2491761704525923,0.6873030169023566,inf,0.5430752243019573,gplsi
1,20,0.975575275342828,0.0538638655605675,0.7202346249536742,3.4515161303173834,0.7172029619439753,inf,0.57499927614019,gplsi
2,20,0.967309975136651,0.0532099918504962,0.7268346237877897,3.5745056279599177,0.7238256130704865,inf,0.5829800098002302,gplsi
3,20,0.9785199467393288,0.0529721967807494,0.7253359359113826,3.507428879306936,0.7222586116789121,inf,0.5838004692990091,plsi
4,20,1.0466800137872574,0.0549490511550219,0.6953691584569212,3.4439709888188568,0.6915729357787286,inf,0.5483383763899203,plsi
5,20,0.9261705926853196,0.0528320336798479,0.7404391078175895,3.670662167821545,0.7376713577295806,inf,0.5902044839865361,plsi
6,20,0.8158806808545392,0.0130494983948864,0.7693493291772223,2.1186062258436302,0.7608361950051229,1.514924412549022,0.6749077208306431,lda
7,20,0.8296477322169947,0.0149217534778167,0.7701361532362812,2.1452329757468203,0.7624420169446484,1.5395184561413913,0.6733747316604127,lda
8,20,0.7600757523701491,0.0132073541025618,0.8039963692097662,2.37981314795819,0.7976089408226277,1.4964892225231845,0.7197151663122627,lda
