,CD4 T cell,CD8 T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 169)",0,2,6,3,0,1,8,1
"('cell', 236)",0,2,5,4,1,1,7,3
"('cell', 182)",0,0,7,3,0,0,3,1
"('cell', 262)",0,2,5,5,1,1,5,2
"('cell', 205)",1,1,7,5,1,0,4,3
"('cell', 271)",2,2,4,6,1,0,7,4
"('cell', 27)",0,0,0,0,0,0,3,0
"('cell', 11)",0,0,0,0,0,1,4,0
"('cell', 5)",0,0,3,1,0,0,3,0
"('cell', 87)",0,0,10,1,0,0,3,0
"('cell', 24)",0,0,4,1,0,0,3,0
"('cell', 1277)",0,1,3,4,0,0,2,0
"('cell', 1289)",0,1,5,6,0,0,4,1
"('cell', 1282)",0,0,6,5,0,0,1,1
"('cell', 1288)",0,0,8,6,0,0,0,2
"('cell', 1359)",0,0,7,6,1,0,4,1
"('cell', 1354)",0,0,6,8,0,0,6,2
"('cell', 1304)",0,0,6,5,0,0,3,0
"('cell', 1425)",0,1,7,7,2,0,5,1
"('cell', 1271)",1,1,2,9,0,4,7,2
"('cell', 1245)",0,1,3,9,0,1,5,2
"('cell', 1309)",1,1,4,10,0,2,8,3
"('cell', 956)",6,1,1,6,1,3,9,9
"('cell', 1152)",1,2,2,9,1,3,2,3
"('cell', 1128)",3,2,3,9,1,2,2,5
"('cell', 1129)",1,3,0,10,3,5,6,1
"('cell', 1161)",0,3,0,8,3,6,7,2
"('cell', 1190)",0,1,0,6,1,8,7,1
"('cell', 1247)",0,1,0,10,2,7,6,1
"('cell', 1217)",0,0,0,8,0,9,4,1
"('cell', 1011)",1,5,0,7,0,3,5,1
"('cell', 996)",0,1,0,6,0,3,3,0
"('cell', 1177)",4,1,0,6,0,3,3,6
"('cell', 1137)",4,1,0,5,0,3,5,6
"('cell', 1127)",3,1,0,5,0,4,6,3
"('cell', 1101)",3,1,0,6,0,3,5,0
"('cell', 1159)",3,1,0,7,0,4,3,4
"('cell', 1583)",5,0,3,8,0,0,0,0
"('cell', 1590)",4,0,3,6,0,0,0,0
"('cell', 2009)",3,2,0,11,3,6,5,2
"('cell', 2197)",2,0,0,8,1,2,0,0
"('cell', 2182)",5,1,2,9,0,2,2,0
"('cell', 1931)",7,5,1,16,3,3,0,1
"('cell', 1811)",5,6,0,20,2,2,0,1
"('cell', 1666)",10,8,1,6,2,3,2,6
"('cell', 2164)",4,4,3,8,0,3,5,4
"('cell', 1718)",1,0,4,2,0,0,0,0
"('cell', 1717)",7,5,0,5,0,0,6,8
"('cell', 1306)",1,1,1,10,0,4,10,3
"('cell', 1420)",1,4,2,8,2,4,1,2
"('cell', 1429)",3,2,2,5,1,9,0,1
"('cell', 1433)",3,2,2,5,1,6,0,2
"('cell', 1536)",4,7,2,7,1,5,0,3
"('cell', 1250)",4,1,1,6,0,3,8,1
"('cell', 1251)",4,2,1,7,0,4,9,2
"('cell', 1241)",3,0,1,6,0,3,10,1
"('cell', 1299)",3,2,2,8,0,5,7,0
"('cell', 729)",3,0,5,4,1,1,4,0
"('cell', 1208)",3,2,1,9,1,4,13,2
"('cell', 919)",7,5,0,6,1,2,7,5
"('cell', 941)",8,5,0,8,0,4,7,5
"('cell', 940)",3,0,6,7,1,0,4,1
"('cell', 909)",1,1,8,6,1,0,4,0
"('cell', 954)",2,0,6,9,1,0,3,2
"('cell', 1209)",5,2,0,10,1,8,7,2
"('cell', 1310)",5,2,1,6,1,10,10,1
"('cell', 1242)",5,3,0,7,1,7,5,1
"('cell', 1260)",5,4,0,7,2,9,5,2
"('cell', 173)",0,2,2,8,2,3,3,0
"('cell', 145)",0,1,2,6,2,5,6,0
"('cell', 309)",0,4,5,8,0,0,0,0
"('cell', 333)",0,4,8,7,0,4,1,0
"('cell', 364)",2,2,8,7,0,3,4,1
"('cell', 404)",2,3,7,5,0,7,4,0
"('cell', 448)",2,1,6,5,0,11,5,0
"('cell', 402)",1,4,7,5,0,4,2,0
"('cell', 514)",0,5,0,3,2,4,5,2
"('cell', 581)",0,5,1,4,2,7,5,2
"('cell', 543)",0,5,0,4,2,6,5,2
"('cell', 522)",0,5,0,4,2,6,5,2
"('cell', 586)",0,4,1,3,2,7,4,1
"('cell', 913)",1,5,0,4,0,1,5,5
"('cell', 959)",1,5,0,4,0,3,4,1
"('cell', 883)",0,2,1,3,0,1,4,2
"('cell', 860)",1,3,1,1,0,2,6,5
"('cell', 702)",3,1,0,8,1,3,10,8
"('cell', 513)",1,3,2,6,3,7,8,1
"('cell', 858)",4,6,0,6,0,2,8,7
"('cell', 1073)",1,0,3,8,2,4,8,1
"('cell', 1087)",0,0,2,9,1,4,7,1
"('cell', 779)",2,1,8,4,0,0,3,1
"('cell', 801)",2,1,5,5,0,0,2,0
"('cell', 762)",3,2,6,5,1,0,4,2
"('cell', 310)",3,0,4,13,1,2,3,5
"('cell', 104)",0,0,8,1,0,1,2,0
"('cell', 66)",0,0,8,2,0,1,2,0
"('cell', 115)",0,0,10,1,0,0,5,0
"('cell', 149)",1,0,7,3,0,2,1,4
"('cell', 163)",1,0,5,3,0,5,2,4
"('cell', 111)",1,0,8,3,0,5,1,4
"('cell', 142)",1,0,7,3,0,5,1,4
"('cell', 112)",1,0,8,3,0,3,0,2
"('cell', 78)",1,0,7,3,0,4,1,2
"('cell', 227)",0,1,8,1,0,0,0,3
"('cell', 255)",0,0,9,0,0,0,1,2
"('cell', 132)",0,1,3,2,0,0,0,3
"('cell', 40)",0,0,2,3,0,0,1,1
"('cell', 93)",0,0,2,4,0,2,2,0
"('cell', 686)",1,1,7,6,1,2,6,6
"('cell', 821)",3,1,1,8,0,2,10,9
"('cell', 735)",2,1,6,5,0,4,11,6
"('cell', 757)",1,1,1,6,0,4,11,7
"('cell', 540)",0,0,5,4,0,1,1,0
"('cell', 493)",0,0,2,2,0,0,2,0
"('cell', 494)",0,0,4,2,0,1,1,0
"('cell', 575)",0,0,5,4,0,2,1,0
"('cell', 582)",1,0,6,5,0,3,2,0
"('cell', 518)",0,0,3,2,0,2,1,0
"('cell', 346)",0,0,4,0,0,0,1,0
"('cell', 345)",3,0,6,5,0,7,1,0
"('cell', 659)",1,1,3,2,0,4,4,3
"('cell', 687)",0,1,5,4,0,4,6,3
"('cell', 583)",1,0,4,3,0,5,4,3
"('cell', 552)",1,0,3,4,0,5,2,3
"('cell', 541)",1,0,6,3,0,3,2,3
"('cell', 562)",1,0,5,0,0,3,2,2
"('cell', 602)",1,0,6,3,0,5,4,2
"('cell', 507)",0,0,6,4,0,2,1,0
"('cell', 578)",0,0,7,4,0,2,1,0
"('cell', 536)",0,0,9,6,0,2,3,0
"('cell', 433)",2,0,5,2,0,4,1,0
"('cell', 499)",0,0,8,2,0,2,0,0
"('cell', 474)",0,0,8,3,0,2,0,0
"('cell', 464)",1,0,7,2,0,1,0,0
"('cell', 751)",1,0,4,5,2,3,3,4
"('cell', 797)",2,1,5,6,2,2,5,6
"('cell', 772)",2,0,4,3,1,3,3,5
"('cell', 749)",1,0,3,3,0,3,3,5
"('cell', 740)",0,0,4,4,1,3,3,4
"('cell', 815)",4,1,4,5,2,3,3,6
"('cell', 487)",0,0,9,1,0,3,0,0
"('cell', 515)",1,0,7,0,0,3,0,0
"('cell', 561)",1,0,8,1,0,3,1,1
"('cell', 632)",1,0,0,5,1,6,8,4
"('cell', 123)",0,1,0,6,0,4,2,0
"('cell', 61)",0,1,0,6,0,2,2,0
"('cell', 72)",0,1,1,5,0,2,2,2
"('cell', 154)",1,2,0,5,0,4,2,1
"('cell', 488)",11,0,0,8,0,2,7,7
"('cell', 420)",5,0,0,12,0,2,10,4
"('cell', 633)",4,0,2,4,1,0,7,3
"('cell', 372)",4,2,1,8,0,2,7,3
"('cell', 452)",10,1,0,6,0,3,8,7
"('cell', 384)",4,2,1,7,1,2,12,5
"('cell', 277)",4,0,1,10,3,4,5,1
"('cell', 312)",5,0,1,12,2,5,7,4
"('cell', 267)",4,0,2,9,3,3,7,1
"('cell', 1107)",5,1,1,11,1,5,6,4
"('cell', 1280)",1,1,0,11,3,3,6,3
"('cell', 1324)",0,1,0,12,3,5,6,3
"('cell', 1071)",1,4,0,7,2,4,5,1
"('cell', 1126)",1,3,0,9,3,3,7,2
"('cell', 1145)",3,1,0,5,0,3,3,0
"('cell', 1131)",2,0,0,5,0,4,4,0
"('cell', 1491)",1,3,6,7,0,1,0,0
"('cell', 1538)",2,2,6,9,0,1,0,0
"('cell', 1480)",5,1,3,5,0,3,0,2
"('cell', 1496)",4,2,3,8,0,3,0,1
"('cell', 1511)",3,1,3,7,0,3,0,0
"('cell', 1463)",3,1,3,5,0,3,0,2
"('cell', 1697)",4,0,3,4,0,0,1,0
"('cell', 1633)",5,0,3,6,0,0,1,0
"('cell', 1936)",3,1,3,9,0,4,3,2
"('cell', 1795)",1,0,5,6,2,4,1,1
"('cell', 2191)",2,0,1,6,1,2,2,0
"('cell', 2111)",7,2,1,12,0,4,3,1
"('cell', 2123)",7,2,1,12,0,4,2,2
"('cell', 1995)",7,5,2,13,2,4,4,2
"('cell', 1591)",5,6,1,14,2,7,0,2
"('cell', 1745)",12,9,0,4,2,1,1,1
"('cell', 1874)",9,5,1,10,3,0,8,2
"('cell', 1914)",7,5,1,8,1,0,6,5
"('cell', 2034)",8,4,2,14,1,5,3,2
"('cell', 2022)",5,5,1,15,1,4,4,2
"('cell', 1729)",1,3,4,2,0,3,0,0
"('cell', 1778)",2,3,5,4,0,3,0,0
"('cell', 1733)",1,1,3,2,0,3,0,0
"('cell', 1705)",2,3,4,3,0,0,0,0
"('cell', 1876)",3,3,6,7,0,0,0,0
"('cell', 2183)",0,3,3,12,0,0,0,0
"('cell', 2194)",0,2,3,7,0,0,0,0
"('cell', 2167)",5,5,3,13,0,1,2,0
"('cell', 2139)",0,6,3,14,0,0,0,0
"('cell', 1804)",8,0,3,11,0,0,2,0
"('cell', 1878)",9,0,1,14,0,1,3,2
"('cell', 1582)",0,2,5,5,0,1,1,0
"('cell', 1323)",0,0,0,9,3,6,7,3
"('cell', 1372)",0,0,0,11,0,8,5,2
"('cell', 1341)",0,0,0,11,0,7,4,2
"('cell', 1342)",0,0,0,11,2,8,4,1
"('cell', 1407)",1,0,0,11,0,7,4,5
"('cell', 1760)",4,4,0,5,5,0,8,8
"('cell', 2114)",3,2,3,6,0,2,8,5
"('cell', 1604)",10,5,2,4,3,2,4,6
"('cell', 1570)",9,5,2,4,3,1,4,5
"('cell', 1257)",1,2,1,11,0,6,7,2
"('cell', 1780)",4,2,0,8,9,0,7,11
"('cell', 1457)",0,1,0,6,1,6,3,5
"('cell', 1758)",1,2,3,9,4,3,4,0
"('cell', 1749)",0,0,5,9,3,2,2,0
"('cell', 1362)",3,2,2,7,0,1,2,2
"('cell', 1316)",3,2,2,6,0,2,8,0
"('cell', 1275)",2,1,1,5,0,3,10,1
"('cell', 1377)",5,7,0,8,1,0,5,7
"('cell', 1610)",11,11,1,8,2,1,0,5
"('cell', 1300)",4,3,0,7,1,2,10,3
"('cell', 939)",8,3,0,8,0,4,12,6
"('cell', 961)",5,0,5,8,2,1,5,0
"('cell', 881)",4,0,7,7,1,1,6,0
"('cell', 830)",4,2,5,6,3,2,5,2
"('cell', 761)",2,0,4,4,1,2,5,0
"('cell', 754)",6,0,4,6,3,2,6,3
"('cell', 823)",3,2,2,6,3,3,7,3
"('cell', 1239)",1,0,0,9,0,11,6,1
"('cell', 194)",0,2,2,7,0,2,2,0
"('cell', 244)",0,3,3,6,0,2,1,0
"('cell', 273)",0,3,3,7,0,2,2,0
"('cell', 289)",0,4,5,7,0,0,1,0
"('cell', 245)",0,4,3,5,0,2,1,0
"('cell', 555)",1,2,0,5,2,6,8,2
"('cell', 554)",1,3,1,6,1,9,9,2
"('cell', 257)",0,3,3,5,2,3,3,0
"('cell', 237)",0,2,3,7,0,3,1,0
"('cell', 212)",0,3,2,7,2,2,2,0
"('cell', 450)",5,0,4,10,0,5,5,1
"('cell', 447)",3,0,9,9,0,7,6,1
"('cell', 828)",0,2,1,4,0,1,5,6
"('cell', 1030)",0,1,6,8,1,2,2,0
"('cell', 867)",1,1,9,4,0,0,3,0
"('cell', 898)",4,0,7,7,1,0,4,1
"('cell', 850)",4,2,6,5,1,0,3,0
"('cell', 1026)",0,1,6,5,1,1,1,0
"('cell', 966)",0,0,6,6,1,0,1,0
"('cell', 925)",1,1,7,5,0,0,2,0
"('cell', 890)",2,2,6,4,0,0,2,0
"('cell', 987)",0,0,4,5,2,1,2,1
"('cell', 979)",2,0,4,5,2,1,3,1
"('cell', 1000)",0,0,6,7,2,1,2,1
"('cell', 630)",9,2,0,14,3,4,10,4
"('cell', 665)",4,1,0,11,3,4,10,4
"('cell', 340)",3,0,4,10,0,0,5,4
"('cell', 100)",0,2,2,3,0,0,0,3
"('cell', 68)",0,2,2,3,0,1,1,3
"('cell', 106)",0,2,3,3,0,0,0,3
"('cell', 67)",0,1,2,3,0,0,1,3
"('cell', 60)",0,0,2,5,0,0,1,1
"('cell', 124)",0,0,5,5,0,0,3,3
"('cell', 95)",0,0,2,5,0,0,1,2
"('cell', 86)",0,0,2,3,0,0,1,3
"('cell', 147)",0,1,8,3,0,0,2,3
"('cell', 148)",1,0,3,3,0,3,4,4
"('cell', 174)",1,0,4,6,0,4,5,5
"('cell', 178)",1,0,6,4,0,2,5,6
"('cell', 128)",0,0,3,3,0,2,3,1
"('cell', 117)",1,0,2,3,0,5,3,1
"('cell', 386)",0,0,4,0,0,1,1,0
"('cell', 298)",0,0,3,1,0,0,2,0
"('cell', 322)",0,0,3,0,0,0,1,0
"('cell', 327)",0,0,4,1,0,0,1,0
"('cell', 241)",1,0,2,2,0,0,2,0
"('cell', 183)",2,0,1,3,0,5,2,0
"('cell', 203)",2,0,2,2,0,4,3,0
"('cell', 219)",3,0,2,3,0,7,3,0
"('cell', 708)",1,0,4,3,2,3,1,1
"('cell', 672)",1,0,3,7,2,2,3,1
"('cell', 642)",1,0,4,8,2,2,3,1
"('cell', 679)",1,0,4,3,0,3,2,0
"('cell', 709)",2,1,3,7,2,1,3,4
"('cell', 711)",1,0,3,4,2,3,2,0
"('cell', 316)",1,1,10,3,0,0,2,1
"('cell', 411)",1,0,9,2,0,0,2,3
"('cell', 380)",0,0,11,2,0,0,2,1
"('cell', 431)",1,0,7,1,0,1,0,0
"('cell', 836)",5,4,1,6,4,6,9,3
"('cell', 664)",3,0,4,3,1,0,4,3
"('cell', 678)",3,0,4,4,1,1,9,1
"('cell', 643)",8,0,3,6,0,0,4,5
"('cell', 658)",3,1,0,6,4,1,8,2
"('cell', 697)",2,1,1,8,4,2,6,3
"('cell', 692)",3,0,3,5,3,1,7,2
"('cell', 626)",5,0,0,6,1,0,8,4
"('cell', 666)",3,0,2,4,1,0,8,2
"('cell', 601)",5,1,1,7,0,1,9,5
"('cell', 621)",4,1,0,7,1,0,8,2
"('cell', 605)",6,0,0,8,0,0,9,3
"('cell', 270)",3,3,4,8,4,2,3,1
"('cell', 77)",1,1,2,2,0,6,5,0
"('cell', 42)",1,0,1,2,0,6,0,0
"('cell', 59)",1,0,1,2,0,6,4,0
"('cell', 109)",0,0,8,3,0,1,5,0
"('cell', 70)",0,0,3,2,0,1,6,0
"('cell', 49)",0,0,1,0,0,1,4,0
"('cell', 36)",0,0,1,0,0,1,5,0
"('cell', 261)",1,1,2,8,4,4,3,0
